GameSeed,GameName,Round,Event,Tick,Turn,PlayerCount,GameID,FinalScore(PlayerName-0),FinalScore(Player-1),FinalScore(Player-0),FinalScore(Player-2),FinalScore(PlayerName-1),FinalScore(PlayerName-2),OrdinalPosition(Player-1 rank),OrdinalPosition(PlayerName-0),OrdinalPosition(Player-1),OrdinalPosition(Player-0),OrdinalPosition(Player-0 rank),OrdinalPosition(Player-2),OrdinalPosition(PlayerName-1),OrdinalPosition(Player-2 rank),OrdinalPosition(PlayerName-2),PlayerType(PlayerType-1),PlayerType(PlayerType-0),PlayerType(PlayerType-2),Winner(PlayerIdx)
456611590,SushiGo,3,GAME_OVER,83,0,3,78,Basic MCTS,28.0,34.0,49.0,rhea,groupG_rhea,3,Basic MCTS,3,2,2,1,rhea,1,groupG_rhea,rhea,Basic MCTS,groupG_rhea,2
-601013491,SushiGo,3,GAME_OVER,81,0,3,79,Basic MCTS,51.0,32.0,43.0,rhea,groupG_rhea,1,Basic MCTS,1,3,3,2,rhea,2,groupG_rhea,rhea,Basic MCTS,groupG_rhea,1
-1971304632,SushiGo,3,GAME_OVER,82,0,3,80,Basic MCTS,37.0,42.0,40.0,rhea,groupG_rhea,3,Basic MCTS,3,1,1,2,rhea,2,groupG_rhea,rhea,Basic MCTS,groupG_rhea,0
1711745582,SushiGo,3,GAME_OVER,81,0,3,81,Basic MCTS,46.0,40.0,53.0,rhea,groupG_rhea,2,Basic MCTS,2,3,3,1,rhea,1,groupG_rhea,rhea,Basic MCTS,groupG_rhea,2
-1261422866,SushiGo,3,GAME_OVER,81,0,3,82,Basic MCTS,37.0,29.0,38.0,rhea,groupG_rhea,2,Basic MCTS,2,3,3,1,rhea,1,groupG_rhea,rhea,Basic MCTS,groupG_rhea,2
690855209,SushiGo,3,GAME_OVER,81,0,3,83,Basic MCTS,38.0,39.0,39.0,rhea,groupG_rhea,3,Basic MCTS,3,1,1,2,rhea,2,groupG_rhea,rhea,Basic MCTS,groupG_rhea,0
541399828,SushiGo,3,GAME_OVER,83,0,3,84,Basic MCTS,39.0,30.0,51.0,rhea,groupG_rhea,2,Basic MCTS,2,3,3,1,rhea,1,groupG_rhea,rhea,Basic MCTS,groupG_rhea,2
1640051046,SushiGo,3,GAME_OVER,83,0,3,85,Basic MCTS,34.0,41.0,59.0,rhea,groupG_rhea,3,Basic MCTS,3,2,2,1,rhea,1,groupG_rhea,rhea,Basic MCTS,groupG_rhea,2
1556565712,SushiGo,3,GAME_OVER,81,0,3,86,Basic MCTS,43.0,49.0,44.0,rhea,groupG_rhea,3,Basic MCTS,3,1,1,2,rhea,2,groupG_rhea,rhea,Basic MCTS,groupG_rhea,0
2114918617,SushiGo,3,GAME_OVER,81,0,3,87,Basic MCTS,50.0,34.0,50.0,rhea,groupG_rhea,2,Basic MCTS,2,3,3,1,rhea,1,groupG_rhea,rhea,Basic MCTS,groupG_rhea,2
803087289,SushiGo,3,GAME_OVER,81,0,3,88,Basic MCTS,38.0,48.0,52.0,rhea,groupG_rhea,3,Basic MCTS,3,2,2,1,rhea,1,groupG_rhea,rhea,Basic MCTS,groupG_rhea,2
-457711794,SushiGo,3,GAME_OVER,81,0,3,89,Basic MCTS,45.0,28.0,35.0,rhea,groupG_rhea,1,Basic MCTS,1,3,3,2,rhea,2,groupG_rhea,rhea,Basic MCTS,groupG_rhea,1
5290360,SushiGo,3,GAME_OVER,82,0,3,90,Basic MCTS,43.0,41.0,52.0,rhea,groupG_rhea,2,Basic MCTS,2,3,3,1,rhea,1,groupG_rhea,rhea,Basic MCTS,groupG_rhea,2
1137946463,SushiGo,3,GAME_OVER,83,0,3,91,Basic MCTS,51.0,36.0,50.0,rhea,groupG_rhea,1,Basic MCTS,1,3,3,2,rhea,2,groupG_rhea,rhea,Basic MCTS,groupG_rhea,1
-365570793,SushiGo,3,GAME_OVER,81,0,3,92,Basic MCTS,42.0,42.0,46.0,rhea,groupG_rhea,3,Basic MCTS,3,2,2,1,rhea,1,groupG_rhea,rhea,Basic MCTS,groupG_rhea,2
-255820716,SushiGo,3,GAME_OVER,81,0,3,93,Basic MCTS,56.0,33.0,51.0,rhea,groupG_rhea,1,Basic MCTS,1,3,3,2,rhea,2,groupG_rhea,rhea,Basic MCTS,groupG_rhea,1
-1402449380,SushiGo,3,GAME_OVER,81,0,3,94,Basic MCTS,41.0,53.0,40.0,rhea,groupG_rhea,2,Basic MCTS,2,1,1,3,rhea,3,groupG_rhea,rhea,Basic MCTS,groupG_rhea,0
-923806133,SushiGo,3,GAME_OVER,82,0,3,95,Basic MCTS,36.0,28.0,54.0,rhea,groupG_rhea,2,Basic MCTS,2,3,3,1,rhea,1,groupG_rhea,rhea,Basic MCTS,groupG_rhea,2
2132847292,SushiGo,3,GAME_OVER,82,0,3,96,Basic MCTS,46.0,26.0,52.0,rhea,groupG_rhea,2,Basic MCTS,2,3,3,1,rhea,1,groupG_rhea,rhea,Basic MCTS,groupG_rhea,2
664301646,SushiGo,3,GAME_OVER,83,0,3,97,Basic MCTS,36.0,34.0,50.0,rhea,groupG_rhea,2,Basic MCTS,2,3,3,1,rhea,1,groupG_rhea,rhea,Basic MCTS,groupG_rhea,2
1770768813,SushiGo,3,GAME_OVER,83,0,3,98,Basic MCTS,45.0,33.0,39.0,rhea,groupG_rhea,1,Basic MCTS,1,3,3,2,rhea,2,groupG_rhea,rhea,Basic MCTS,groupG_rhea,1
-2145448892,SushiGo,3,GAME_OVER,83,0,3,99,Basic MCTS,49.0,32.0,50.0,rhea,groupG_rhea,2,Basic MCTS,2,3,3,1,rhea,1,groupG_rhea,rhea,Basic MCTS,groupG_rhea,2
-1861931179,SushiGo,3,GAME_OVER,83,0,3,100,Basic MCTS,60.0,44.0,59.0,rhea,groupG_rhea,1,Basic MCTS,1,3,3,2,rhea,2,groupG_rhea,rhea,Basic MCTS,groupG_rhea,1
