GameSeed,GameName,Round,Event,Tick,Turn,PlayerCount,GameID,OrdinalPosition(Player-1 rank),OrdinalPosition(PlayerName-0),OrdinalPosition(Player-1),OrdinalPosition(Player-0),OrdinalPosition(Player-0 rank),OrdinalPosition(PlayerName-1),FinalScore(PlayerName-0),FinalScore(Player-1),FinalScore(Player-0),FinalScore(PlayerName-1),PlayerType(PlayerType-1),PlayerType(PlayerType-0),Winner(PlayerIdx)
346665430,Connect4,9,GAME_OVER,20,1,2,74,1,OSLA,1,2,2,Basic MCTS,OSLA,1.0,-1.0,Basic MCTS,Basic MCTS,OSLA,1
879079583,Connect4,3,GAME_OVER,8,1,2,75,1,OSLA,1,2,2,Basic MCTS,OSLA,1.0,-1.0,Basic MCTS,Basic MCTS,OSLA,1
-619666105,Connect4,3,GAME_OVER,8,1,2,76,1,OSLA,1,2,2,Basic MCTS,OSLA,1.0,-1.0,Basic MCTS,Basic MCTS,OSLA,1
503938916,Connect4,3,GAME_OVER,8,1,2,77,1,OSLA,1,2,2,Basic MCTS,OSLA,1.0,-1.0,Basic MCTS,Basic MCTS,OSLA,1
-428737539,Connect4,5,GAME_OVER,12,1,2,78,1,OSLA,1,2,2,Basic MCTS,OSLA,1.0,-1.0,Basic MCTS,Basic MCTS,OSLA,1
-1745970416,Connect4,3,GAME_OVER,8,1,2,79,1,OSLA,1,2,2,Basic MCTS,OSLA,1.0,-1.0,Basic MCTS,Basic MCTS,OSLA,1
-1436161366,Connect4,3,GAME_OVER,8,1,2,80,1,OSLA,1,2,2,Basic MCTS,OSLA,1.0,-1.0,Basic MCTS,Basic MCTS,OSLA,1
-1151041315,Connect4,4,GAME_OVER,10,1,2,81,1,OSLA,1,2,2,Basic MCTS,OSLA,1.0,-1.0,Basic MCTS,Basic MCTS,OSLA,1
346665430,Connect4,11,GAME_OVER,23,0,2,82,2,OSLA,2,1,1,RandomPlayer,OSLA,-1.0,1.0,RandomPlayer,RandomPlayer,OSLA,0
879079583,Connect4,9,GAME_OVER,19,0,2,83,2,OSLA,2,1,1,RandomPlayer,OSLA,-1.0,1.0,RandomPlayer,RandomPlayer,OSLA,0
-619666105,Connect4,9,GAME_OVER,19,0,2,84,2,OSLA,2,1,1,RandomPlayer,OSLA,-1.0,1.0,RandomPlayer,RandomPlayer,OSLA,0
503938916,Connect4,7,GAME_OVER,15,0,2,85,2,OSLA,2,1,1,RandomPlayer,OSLA,-1.0,1.0,RandomPlayer,RandomPlayer,OSLA,0
-428737539,Connect4,4,GAME_OVER,9,0,2,86,2,OSLA,2,1,1,RandomPlayer,OSLA,-1.0,1.0,RandomPlayer,RandomPlayer,OSLA,0
-1745970416,Connect4,4,GAME_OVER,9,0,2,87,2,OSLA,2,1,1,RandomPlayer,OSLA,-1.0,1.0,RandomPlayer,RandomPlayer,OSLA,0
-1436161366,Connect4,3,GAME_OVER,8,1,2,88,1,OSLA,1,2,2,RandomPlayer,OSLA,1.0,-1.0,RandomPlayer,RandomPlayer,OSLA,1
-1151041315,Connect4,3,GAME_OVER,7,0,2,89,2,OSLA,2,1,1,RandomPlayer,OSLA,-1.0,1.0,RandomPlayer,RandomPlayer,OSLA,0
346665430,Connect4,11,GAME_OVER,23,0,2,90,2,OSLA,2,1,1,RMHC,OSLA,-1.0,1.0,RMHC,RMHC,OSLA,0
879079583,Connect4,5,GAME_OVER,11,0,2,91,2,OSLA,2,1,1,RMHC,OSLA,-1.0,1.0,RMHC,RMHC,OSLA,0
-619666105,Connect4,3,GAME_OVER,7,0,2,92,2,OSLA,2,1,1,RMHC,OSLA,-1.0,1.0,RMHC,RMHC,OSLA,0
503938916,Connect4,11,GAME_OVER,24,1,2,93,1,OSLA,1,2,2,RMHC,OSLA,1.0,-1.0,RMHC,RMHC,OSLA,1
-428737539,Connect4,5,GAME_OVER,12,1,2,94,1,OSLA,1,2,2,RMHC,OSLA,1.0,-1.0,RMHC,RMHC,OSLA,1
-1745970416,Connect4,5,GAME_OVER,11,0,2,95,2,OSLA,2,1,1,RMHC,OSLA,-1.0,1.0,RMHC,RMHC,OSLA,0
-1436161366,Connect4,3,GAME_OVER,7,0,2,96,2,OSLA,2,1,1,RMHC,OSLA,-1.0,1.0,RMHC,RMHC,OSLA,0
-1151041315,Connect4,9,GAME_OVER,19,0,2,97,2,OSLA,2,1,1,RMHC,OSLA,-1.0,1.0,RMHC,RMHC,OSLA,0
